Site,RFID Date,ColorBands,SilverBands,RFIDold,RFIDnew,Mass,WingLength,BloodSample,Feeder,Sex,MaturityTOIC,KnownHistory,Notes,Recap from pre-2015,Breeding 2019,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Tested F18_W19,Tested F17_W18,Tested F16_W17,Tested F15_W16,Tested F14_W15,Detected F18_W19,Detected F17_W18,Detected F16_W17,Detected F15_W16,Detected F14_W15,Detected April_16,Detected May_16,Recap F19-20,Recap F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15
H,8/29/2014,Blue;RPT,,0700EDD22B,,9.8,68,H6,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,8/29/2014,G/S2540-39396;RPT,2540-39396,0700ED9F8E,,13.32,74,H1,F3H,M,adult,formerly S; Banded as Chick from 22B 2013,,,,,,,BOX 18-2 H,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,,Y - F8H 12/22/14 
H,8/29/2014,RPT;_,,030002D9C7,,10.91,69,H2,F3H,,juv,,not molting; juve,,,,,,,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,Y-F4H 11/6/15,Y - F3H 9/5/14; F3H 11/26/14
H,8/29/2014,RPT;R,,0700EDF64A,0700EE2FE7,12.18,71,H5; H343,F3H,M,,,,,BOX 24-1 H,BOX 24-1 H,BOX 21 H,BOX 21 H,BOX 22-1 H,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y-HEAR 3,Y-HEAR 3,F4H 09/20,,,Y- 12/7/2016 F4H,Y-F3H 8/28/15,
H,8/29/2014,RPT;Blue,,0700EE0597,,12.25,72,H7,F4H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,8/29/2014,R/S2720-43450;RPT,2720-43450,0700EDC401,,12.27,71.5,SHH_124,F4H,M,adult,originally banded 2013 F3H,,Y - formerly S; R,,,,BOX 29-1 H,,N,N,N,N,Y,N,N,N,Y,Y,,,,,,,Y-F4H? 11/6,
H,8/29/2014,S2720-43464;RPT,2720-43464,0700EDDDC8,,12.18,72,SHH_138,F2H,,adult,originally banded 2013 F2H,,Y - formerly S; Gr/Gr,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,8/29/2014,Y/S2720-43447;RPT,2720-43447,030001CC84,,12.04,71.5,H4; H348,F1H,M,adult,originally banded 2013 F1H,molting primaries; secondaries; Detected at LOW and HIGH F2014/W15,Y,,,BOX 1-1 H; BOX B2 H,BOX 1 H,BOX B2 H,N,N,Y,Y,Y,N,N,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,,,,Y-F1H 9/7/2015,
H,8/29/2014,_;RPT,,0700EDAFE3,,11.76,69.5,H3,F1H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,Y - F1H 9/5/14
H,9/5/2014,Black;RPT,,0700EDE474,,13.45,72,H20,F3H,,adult,,adult,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,
H,9/5/2014,Black/S2720-43768;RPT,2720-43768,0700EDBED1,,12.31,70.5,H19,F3H,,juv,formerly S; Banded as chick from box 33 2014,juve,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,9/5/2014,G;RPT,,0700EE31AE,,11.95,71.5,H17,F3H,M,,,,,,,,BOX 33-1 H,,N,N,Y,Y,Y,N,N,Y,Y,Y,Y-HEAR 3,Y-HEAR 3,,,,Y-11/21/2016 F3H,,Y - F5H 11/12/14
H,9/5/2014,Grey;RPT,,0700EE0DD0,,10.16,69,H21,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,9/5/2014,Grey/S2540-39416;RPT,2540-39416,0700EDE211,,13.03,72.5,H12,F5H,,adult,formerly S; Banded as Chick 2013 Box 44,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,9/5/2014,LB;RPT,,0700EE1FB2,,11.48,73.5,H16,F3H,M,adult,,adult,,,,,,,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,,
H,9/5/2014,LG;RPT,,0700EDB889,0700EDBC17,11.9,71.5,H18,F5H,M,juv,,juve,,,,,,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y-HEAR 3,,,,,,,
H,9/5/2014,LG/S2720-43462;RPT,2720-43462,0700EE3EF6,,11.24,69,H176; SHH_136,F3H,F,adult,originally banded on 11/30/13 at F4H,,Y - formerly S;Y/R ,,,,,BOX 28 H,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,Y - 10/2 at F4H,
H,9/5/2014,O;RPT,,0700EE0380,,10.67,70.5,H22,F2H,,adult,,adult; was badly tangled; Detected LOW and HIGH F2014/W15,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,Y - F2H 11/5/14
