Date,Site,Feeder,RFID,ColorBands,SilverBands,Sex,WingLength,Mass,BID,Maturity
8/29/2014,H,F3H,0700EDD22B,Blue;RPT,,,68,9.8,H6,
8/29/2014,H,F3H,0700ED9F8E,G/S2540-39396;RPT,2540-39396,M,74,13.32,H1,adult
8/29/2014,H,F3H,030002D9C7,RPT;_,,,69,10.91,H2,juv
8/29/2014,H,F3H,0700EDF64A,RPT;R,,M,71,12.18,H5; H343,
8/29/2014,H,F4H,0700EE0597,RPT;Blue,,,72,12.25,H7,
8/29/2014,H,F4H,0700EDC401,R/S2720-43450;RPT,2720-43450,M,71.5,12.27,SHH_124,adult
8/29/2014,H,F2H,0700EDDDC8,S2720-43464;RPT,2720-43464,,72,12.18,SHH_138,adult
8/29/2014,H,F1H,030001CC84,Y/S2720-43447;RPT,2720-43447,M,71.5,12.04,H4; H348,adult
8/29/2014,H,F1H,0700EDAFE3,_;RPT,,,69.5,11.76,H3,
9/5/2014,H,F3H,0700EDE474,Black;RPT,,,72,13.45,H20,adult
9/5/2014,H,F3H,0700EDBED1,Black/S2720-43768;RPT,2720-43768,,70.5,12.31,H19,juv
9/5/2014,H,F3H,0700EE31AE,G;RPT,,M,71.5,11.95,H17,
9/5/2014,H,F3H,0700EE0DD0,Grey;RPT,,,69,10.16,H21,
9/5/2014,H,F5H,0700EDE211,Grey/S2540-39416;RPT,2540-39416,,72.5,13.03,H12,adult
9/5/2014,H,F3H,0700EE1FB2,LB;RPT,,M,73.5,11.48,H16,adult
9/5/2014,H,F5H,0700EDB889,LG;RPT,,M,71.5,11.9,H18,juv
9/5/2014,H,F3H,0700EE3EF6,LG/S2720-43462;RPT,2720-43462,F,69,11.24,H176; SHH_136,adult
9/5/2014,H,F2H,0700EE0380,O;RPT,,,70.5,10.67,H22,adult
9/5/2014,H,F3H,0700EDBD06,O/S2720-43460;RPT,2720-43460,M,70,12.21,SHH_ 134; H9; H374,adult
9/5/2014,H,F3H,0700ED9AAB,R;RPT,,M,72.5,12.3,H183,
9/5/2014,H,F2H,0700EE14BA,RPT;LG,,,70,12.05,H10,
9/5/2014,H,F6H,0700EDB44D,RPT;Black,,,72,12.34,H11,
9/5/2014,H,F5H,0700EDCCCF,RPT;Grey,,,72.5,12.26,H13,
9/5/2014,H,F5H,0700EE0A3B,RPT;Y,,F,66.5,9.51,H14,juv
9/5/2014,H,F5H,0700EE1431,RPT;O,,M,70.5,12.5,H15,
9/5/2014,H,F3H,0700EDF259,RPT;G,,F,69.5,12.15,H8,
9/5/2014,H,F4H,0700EE3300,RPT;LB,,,69,,NA,
9/5/2014,H,F4H,0700EE0514,W/S2720-43461;RPT,2720-43461,M,72.5,12.36,SHH_135; H160,adult
9/5/2014,H,F2H,0700EE1A2B,Y;RPT,,,70,11.27,NA,adult
9/12/2014,H,F5H,0700EE26F2,RPT;R/R,,F,,,H23,adult
9/12/2014,H,F5H,0700EE2D20,RPT;G/G,,M,74.5,11.96,H24,adult
9/19/2014,H,F1H,0700EDFED4,RPT;Blue/Blue,,F,69,11.6,H26,
9/19/2014,H,F5H,030002A624,RPT;Black/Black,,,69.5,13.36,H27,
9/19/2014,H,F1H,030001F885,R/S2720-43445;YPT,2720-43445,M,71,13.04,H25; H805,adult
11/5/2014,H,F2H,0700EDA35E,Black/Black;RPT,,F,70.5,11.74,H35,adult
11/5/2014,H,F2H,0300025F50,Blue/Blue;RPT,,M,70.5,12,H34,
11/5/2014,H,F1H,0700ED9EEE,RPT;LG/LG,,,68,11.93,H28; H334,
11/5/2014,H,F1H,03000208C0,RPT;LB/LB,,,68,11.28,H29,
11/5/2014,H,F1H,0300025985,RPT;Y/Y,,,71.5,11.95,H30,
11/5/2014,H,F1H,0300019589,RPT;O/O,,M,71,11.23,H31; H393,
11/5/2014,H,F1H,0700EDD03A,RPT;Grey/Grey,,,71,11.66,H32,
11/5/2014,H,F2H,030001D152,R/R;RPT,,M,71.5,11.91,H33; H365; H644,adult
11/12/2014,H,F6H,0700EE3D42,G/G;RPT,,,70,10.67,H37,
11/12/2014,H,F5H,030003735A,S2540-39407/R;RPT,2540-39407,M,74,12.93,H36,adult
11/12/2014,H,F3H,03000317F8,S2740-25025/G;RPT,2740-25025,,71.5,12.28,none,juv
11/17/2014,H,F8H,030002F6A9,LB/LB;RPT,,,69,11.35,H39,
11/17/2014,H,F7H,0300026EA2,LG/LG;RPT,,M,74,12.4,H38,
11/26/2014,H,F7H,0300019B2E,Grey/Grey;RPT,,,70,11.06,H42,
11/26/2014,H,F7H,0700EE2AD9,O/O;RPT,,,70,11.34,H41,
11/26/2014,H,F1H,0700EE0863,RPT;R/Black,,M,67.5,11.66,H44; H369,adult
11/26/2014,H,F3H,0700EE0384,RPT;R/Blue,,,68,10.8,,
11/26/2014,H,F2H,030001F664,Y/Y;RPT,,M,73,12.5,H40; H387; H814,
12/22/2014,H,F3H,0700EDE8C0,RPT;R/G,,,69,11.92,,
12/22/2014,H,F3H,0700EE0EC4,RPT;R/LB,,F,67,12.38,,
12/22/2014,H,F3H,0700ED8AF6,RPT;R/LG,,,68,11.38,,
12/22/2014,H,F3H,0700EE2030,RPT;R/O,,,69,12.4,,
12/22/2014,H,F3H,0700EE40D6,RPT;R/Y,,F,66,11.32,,
12/22/2014,H,F3H,0700EDF35F,RPT;R/Grey,,F,69,11.62,H344; H368,
12/22/2014,H,F3H,0700EDBA2B,R/Black;RPT,,F,67,11.77,H159,
12/22/2014,H,F3H,0700EDA565,R/Blue;RPT,,M,73,12.89,H372,
12/22/2014,H,F3H,0700EDD1CE,R/G;RPT,,,70,12,,
12/22/2014,H,F3H,0700EE16FB,R/LG;RPT,,,72,12.56,H342,
12/28/2014,H,F1H,0700EE0490,RPT;Blue/R,,,71,11.83,,
12/28/2014,H,F1H,0700EE0F9F,R/Grey;RPT,,F,67,11.26,,
12/28/2014,H,F1H,0700EE4484,R/LB;RPT,,,70,12.1,,
12/28/2014,H,F1H,03000346D4,R/O;RPT,,,71,12.98,,
12/28/2014,H,F1H,0300026637,R/Y;RPT,,F,67,10.61,,
1/1/2015,H,F1H,0700EDDCC6,Black/R;RPT,,M,73,12.54,,
1/1/2015,H,F1H,0700EDFFE1,Blue/R;RPT,,M,75.5,13.56,H199,
1/1/2015,H,F1H,0700EDA894,G/R;RPT,,,69,12.73,,
1/1/2015,H,F3H,0700ED8660,Grey/R;RPT,,M,70,,H613,
1/1/2015,H,F3H,0700ED8DFB,LB/R;RPT,,,70,12.63,,
