RFID_old,RFID_new,Date_old,Site
0700EDF64A,0700EE2FE7,8/29/2014,H
0700EDB889,0700EDBC17,9/5/2014,H
030001F885,0700EE2693,9/19/2014,H
030001F664,0700EDD82A,11/26/2014,H
0700EDC61E,011017A7DF,1/1/2015,H
030003142F,0700EDDE1E,1/9/2015,H
0700EDDE2F,0700EDA221,6/24/2015,H
0700EE3582,0700EE20B2,6/26/2015,H
030001A0E8,0700EE2C5B,7/1/2015,H
0700EDEFA0,0700EDE460,7/2/2015,H
0700ED8E2B,0700ED93F8,7/6/2015,H
0700EDB878,0700EDF415,11/6/2015,H
0700EE287D,0700EDE04B,7/9/2016,H
011017A327,0110172346,10/26/2016,H
0700EDE028,01103F8DF7,11/7/2016,H
0700EDC0C6,0700EDFAF0,11/7/2016,H
01101798A9,0110173D14,11/30/2016,H
011017A21B,0110172D2E,11/30/2016,H
0110179E70,01101705A3,12/19/2016,H
011017A1B1,011016B349,11/29/2017,H
01101798E7,0700EDEFD6,8/27/2018,H
0700ED0584,0110170CC0,8/31/2018,H
0700EE04B3,0700ED8A10,8/22/2014,L
 030001BAA3,0700EE0E10,11/10/2014,L
0700EE26D8,0700EE2C29,1/14/2015,L
0300030FD8,0700EDCBDC,6/22/2015,L
0300035D05,0700ED8676,7/1/2015,L
0700EDF56D,0700EE40F2,8/24/2015,L
0700EE3D89,0700EDAEDE,9/18/2015,L
0700EE2425,0700EDF928,11/14/2015,L
0700EE1199,0700EE40A2,1/27/2017,L
0700EE078D,0700EDA716,8/23/2017,L
0700EDBA48,0700ED9B9C,9/5/2018,L
01101742F9,0110171291,3/15/2019,L
0110172821,0700EDF905,3/18/2019,L
0110170075,0700ED9B18,3/24/2019,L
